epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.998,2.00344,3.20073,1.76112,0.2401,0.28533,0.13036,0.05441,2.22827,3.09311,2.07082,0.000473987,0.000473987,0.000473987
2,226.12,2.0393,2.89224,1.78757,0.51353,0.17149,0.14756,0.05621,2.34228,3.39528,2.12899,0.000940912,0.000940912,0.000940912
3,321.193,2.07117,2.75531,1.83127,0.19594,0.27215,0.13355,0.05695,2.2564,3.3577,2.1371,0.00139841,0.00139841,0.00139841
4,437.483,2.02263,2.6259,1.78535,0.31854,0.24494,0.22945,0.09655,2.20099,3.12913,2.09977,0.00138656,0.00138656,0.00138656
5,543.795,1.95964,2.51799,1.74062,0.29216,0.28575,0.22035,0.09183,2.05482,2.55339,1.97948,0.00137241,0.00137241,0.00137241
6,638.797,1.94372,2.49062,1.73906,0.32076,0.2779,0.19779,0.09285,2.06871,2.59066,1.96047,0.00135826,0.00135826,0.00135826
7,733.752,1.91853,2.41128,1.70214,0.28131,0.3222,0.24574,0.12338,2.00575,2.4104,1.92015,0.00134412,0.00134412,0.00134412
8,828.76,1.87511,2.34787,1.68668,0.50437,0.3629,0.29793,0.15004,1.8912,2.35628,1.80943,0.00132997,0.00132997,0.00132997
9,927.437,1.83718,2.24901,1.65525,0.28322,0.36876,0.29107,0.12584,1.93882,2.24064,1.86557,0.00131582,0.00131582,0.00131582
10,1023.24,1.84592,2.26377,1.66063,0.62207,0.38167,0.33821,0.15925,1.88587,2.21206,1.82555,0.00130168,0.00130168,0.00130168
11,1120.05,1.8117,2.21863,1.64176,0.35991,0.40103,0.33402,0.15833,1.87108,2.25436,1.77801,0.00128753,0.00128753,0.00128753
12,1220.93,1.81812,2.18324,1.64365,0.39399,0.40537,0.35528,0.17592,1.84622,2.19902,1.77612,0.00127338,0.00127338,0.00127338
13,1320.87,1.79466,2.17986,1.63472,0.27776,0.35283,0.30804,0.14666,1.95176,2.26506,1.80522,0.00125923,0.00125923,0.00125923
14,1419.49,1.7909,2.13263,1.61649,0.38933,0.38976,0.33562,0.17309,1.80464,2.14855,1.74654,0.00124509,0.00124509,0.00124509
15,1515.88,1.75817,2.10295,1.59413,0.53855,0.40228,0.38396,0.18887,1.80462,2.00187,1.73399,0.00123094,0.00123094,0.00123094
16,1615.66,1.74075,2.02904,1.58565,0.62792,0.42255,0.37266,0.188,1.83882,2.05717,1.75284,0.00121679,0.00121679,0.00121679
17,1715.38,1.7322,2.05634,1.57675,0.6697,0.4078,0.41506,0.21976,1.78371,1.97995,1.73071,0.00120265,0.00120265,0.00120265
18,1812.62,1.71649,1.98337,1.56259,0.53162,0.45502,0.40947,0.20819,1.78783,1.95148,1.70089,0.0011885,0.0011885,0.0011885
19,1911.26,1.69762,1.98196,1.56869,0.68902,0.37327,0.40885,0.21271,1.77975,1.94911,1.7246,0.00117435,0.00117435,0.00117435
20,2010.2,1.71949,2.00953,1.56804,0.41802,0.46141,0.42213,0.21484,1.77572,1.89484,1.68167,0.00116021,0.00116021,0.00116021
21,2105.52,1.68926,1.96987,1.55684,0.42094,0.48529,0.4052,0.20063,1.78334,1.94404,1.69256,0.00114606,0.00114606,0.00114606
22,2201.25,1.68884,1.94748,1.54857,0.47562,0.52761,0.47701,0.2564,1.76807,1.82815,1.69586,0.00113191,0.00113191,0.00113191
23,2296.64,1.69242,1.93098,1.55988,0.57011,0.43572,0.44745,0.23239,1.7226,1.83741,1.65438,0.00111776,0.00111776,0.00111776
24,2393.08,1.67842,1.9216,1.53916,0.46556,0.48919,0.46506,0.24191,1.73491,1.83012,1.67556,0.00110362,0.00110362,0.00110362
25,2492.34,1.65619,1.8759,1.52239,0.55546,0.4925,0.48435,0.26459,1.69947,1.78665,1.65197,0.00108947,0.00108947,0.00108947
26,2590.38,1.65119,1.85058,1.50755,0.47981,0.52729,0.48576,0.26152,1.70783,1.76117,1.64349,0.00107532,0.00107532,0.00107532
