epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4510.04,1.4496,1.55817,1.45957,0.59517,0.55112,0.56932,0.32731,1.56483,1.62377,1.62374,0.000848969,0.000848969,0.000848969
43,4633.88,1.44852,1.54203,1.47065,0.57576,0.56817,0.58069,0.33717,1.60236,1.5601,1.65563,0.000834822,0.000834822,0.000834822
44,4737.33,1.43839,1.50443,1.45483,0.60163,0.59996,0.597,0.34383,1.59198,1.51241,1.63497,0.000820675,0.000820675,0.000820675
45,4840.78,1.44936,1.51347,1.46537,0.55693,0.58165,0.57231,0.32875,1.56331,1.57208,1.62969,0.000806528,0.000806528,0.000806528
46,4944.41,1.41314,1.48599,1.43464,0.57128,0.6029,0.58429,0.33773,1.54154,1.51761,1.6145,0.00079238,0.00079238,0.00079238
47,5048.11,1.40336,1.46172,1.43463,0.55747,0.59567,0.58751,0.34611,1.51919,1.49387,1.60265,0.000778233,0.000778233,0.000778233
48,5152.86,1.40707,1.43744,1.44368,0.5861,0.6096,0.60919,0.35042,1.52239,1.48171,1.59838,0.000764086,0.000764086,0.000764086
49,5257.65,1.37896,1.40924,1.42074,0.60456,0.59627,0.60956,0.36367,1.50181,1.45468,1.58827,0.000749939,0.000749939,0.000749939
50,5361.97,1.39516,1.43286,1.42813,0.57867,0.5897,0.59048,0.34002,1.52353,1.47206,1.5968,0.000735792,0.000735792,0.000735792
51,5466.43,1.39788,1.39545,1.43655,0.66333,0.57975,0.61187,0.3593,1.55383,1.44257,1.6449,0.000721645,0.000721645,0.000721645
52,5571.19,1.36148,1.36335,1.40938,0.56349,0.64085,0.61189,0.35894,1.50552,1.44851,1.57041,0.000707498,0.000707498,0.000707498
53,5674.1,1.36689,1.35703,1.39978,0.57401,0.60141,0.603,0.36178,1.51775,1.45892,1.59681,0.000693351,0.000693351,0.000693351
54,5777.66,1.34464,1.3516,1.39502,0.63491,0.5707,0.60043,0.35857,1.48765,1.44956,1.57593,0.000679204,0.000679204,0.000679204
55,5881.32,1.35192,1.35396,1.40293,0.63339,0.6277,0.62107,0.36265,1.49727,1.422,1.58189,0.000665057,0.000665057,0.000665057
56,5984.49,1.32622,1.3247,1.40105,0.65276,0.60416,0.65031,0.38581,1.45314,1.36873,1.56791,0.000650909,0.000650909,0.000650909
57,6088.13,1.32517,1.33007,1.38146,0.68687,0.59621,0.64714,0.39635,1.4607,1.37089,1.54985,0.000636762,0.000636762,0.000636762
58,6191.31,1.31526,1.31529,1.38651,0.66665,0.57912,0.64786,0.39742,1.44996,1.33463,1.53407,0.000622615,0.000622615,0.000622615
59,6295.43,1.32242,1.31308,1.39236,0.6241,0.64525,0.65271,0.39219,1.48067,1.37201,1.57009,0.000608468,0.000608468,0.000608468
60,6399.66,1.29839,1.2817,1.3701,0.66503,0.63229,0.66325,0.39435,1.45351,1.37393,1.55496,0.000594321,0.000594321,0.000594321
61,6503.52,1.29271,1.25538,1.35906,0.65899,0.62809,0.64296,0.39748,1.4509,1.33859,1.53721,0.000580174,0.000580174,0.000580174
62,6608.01,1.27714,1.22591,1.33728,0.68291,0.61075,0.66572,0.39549,1.44735,1.30976,1.5127,0.000566027,0.000566027,0.000566027
63,6712.56,1.2838,1.22598,1.34882,0.66608,0.62179,0.6471,0.38876,1.4619,1.32365,1.56238,0.00055188,0.00055188,0.00055188
