epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.741,2.00989,2.83499,1.86051,0.52198,0.13558,0.10685,0.04557,2.57425,3.68369,2.61833,0.000473987,0.000473987,0.000473987
2,218.456,2.17401,2.81023,2.02646,0.09547,0.14747,0.05555,0.0215,2.57808,3.99,2.59626,0.000940912,0.000940912,0.000940912
3,322.814,2.16729,2.79093,2.03534,0.4604,0.18398,0.07892,0.03126,2.67246,3.85052,2.61865,0.00139841,0.00139841,0.00139841
4,426.11,2.10826,2.69749,1.97598,0.22529,0.26093,0.17959,0.07417,2.29452,3.02754,2.31908,0.00138656,0.00138656,0.00138656
5,529.495,2.0258,2.64079,1.92046,0.24078,0.26081,0.17524,0.07701,2.1904,2.87969,2.14674,0.00137241,0.00137241,0.00137241
6,634.211,1.98386,2.55885,1.89359,0.32938,0.27853,0.20641,0.08623,2.17285,2.7019,2.1376,0.00135826,0.00135826,0.00135826
7,739.201,1.92747,2.45932,1.83332,0.27912,0.32728,0.22826,0.09692,2.12377,2.62064,2.05682,0.00134412,0.00134412,0.00134412
8,843.216,1.88633,2.39693,1.8173,0.58063,0.31448,0.24191,0.10886,2.00554,2.48281,2.03499,0.00132997,0.00132997,0.00132997
9,947.763,1.8681,2.3387,1.7865,0.30267,0.3398,0.23594,0.1028,2.04461,2.40653,1.99004,0.00131582,0.00131582,0.00131582
10,1051.69,1.8685,2.32848,1.7831,0.58734,0.3296,0.25076,0.11788,1.99428,2.50495,1.9718,0.00130168,0.00130168,0.00130168
11,1155.4,1.83151,2.2813,1.76241,0.40465,0.30422,0.28203,0.13288,1.96044,2.42247,1.93055,0.00128753,0.00128753,0.00128753
12,1259.43,1.81859,2.25211,1.72462,0.40086,0.3455,0.27829,0.13434,1.90569,2.36354,1.90314,0.00127338,0.00127338,0.00127338
13,1363.66,1.80454,2.23233,1.7443,0.37223,0.35802,0.27782,0.12569,1.91045,2.46509,1.91388,0.00125923,0.00125923,0.00125923
14,1466.65,1.79334,2.21309,1.72523,0.3933,0.35654,0.28478,0.13148,1.93699,2.38157,1.91881,0.00124509,0.00124509,0.00124509
15,1571.81,1.76105,2.14092,1.7027,0.53024,0.33603,0.3287,0.1593,1.90767,2.18163,1.88771,0.00123094,0.00123094,0.00123094
16,1675.12,1.74657,2.08201,1.70271,0.63874,0.37797,0.34979,0.16826,1.85574,2.14891,1.8713,0.00121679,0.00121679,0.00121679
17,1778.38,1.74753,2.12874,1.70548,0.35518,0.48263,0.36076,0.17481,1.88318,2.1201,1.89096,0.00120265,0.00120265,0.00120265
18,1883.29,1.69973,2.01998,1.65415,0.39309,0.42527,0.34975,0.17193,1.78669,2.21194,1.83043,0.0011885,0.0011885,0.0011885
19,1990.97,1.69385,2.00599,1.66718,0.36774,0.44017,0.34511,0.17216,1.83386,2.18034,1.82867,0.00117435,0.00117435,0.00117435
20,2097.85,1.73005,2.03856,1.67942,0.40795,0.44874,0.36338,0.17447,1.91647,2.24143,1.8821,0.00116021,0.00116021,0.00116021
21,2204.66,1.67401,2.01985,1.6456,0.46761,0.45304,0.39489,0.20368,1.80237,2.02829,1.80714,0.00114606,0.00114606,0.00114606
22,2308.98,1.67303,1.94895,1.63423,0.45522,0.48193,0.41196,0.20818,1.85225,1.96178,1.83203,0.00113191,0.00113191,0.00113191
23,2412.92,1.67371,1.9458,1.65947,0.42055,0.4841,0.42065,0.20327,1.81258,1.93992,1.81587,0.00111776,0.00111776,0.00111776
24,2516.66,1.65249,1.91094,1.62733,0.44356,0.47004,0.42738,0.22573,1.73401,1.90121,1.77179,0.00110362,0.00110362,0.00110362
25,2620.67,1.62959,1.87599,1.61054,0.43013,0.48208,0.40423,0.21072,1.72211,1.97641,1.74914,0.00108947,0.00108947,0.00108947
26,2724.4,1.59993,1.85718,1.58278,0.58493,0.46,0.47732,0.25474,1.72546,1.84727,1.75536,0.00107532,0.00107532,0.00107532
27,2832.13,1.60405,1.81398,1.59803,0.45443,0.52259,0.45518,0.25095,1.72264,1.84137,1.75591,0.00106118,0.00106118,0.00106118
28,2937.3,1.60587,1.80907,1.56997,0.48731,0.47266,0.45021,0.23829,1.74266,1.92919,1.77225,0.00104703,0.00104703,0.00104703
29,3042.9,1.59132,1.80765,1.58119,0.45242,0.48189,0.45967,0.24255,1.73965,1.86548,1.75577,0.00103288,0.00103288,0.00103288
30,3147.9,1.60638,1.77208,1.57918,0.50383,0.50834,0.49054,0.25989,1.68229,1.81671,1.70359,0.00101873,0.00101873,0.00101873
31,3252.62,1.54133,1.73463,1.5399,0.54197,0.49953,0.48961,0.27181,1.6855,1.78963,1.7161,0.00100459,0.00100459,0.00100459
32,3358.37,1.54908,1.72652,1.5584,0.49929,0.53162,0.48021,0.25021,1.71521,1.81473,1.7506,0.00099044,0.00099044,0.00099044
33,3463.21,1.57168,1.71316,1.55742,0.5083,0.50527,0.46854,0.25678,1.70804,1.81217,1.74712,0.000976293,0.000976293,0.000976293
34,3583.02,1.54939,1.70731,1.54993,0.50602,0.49876,0.48516,0.27058,1.68429,1.82759,1.73851,0.000962146,0.000962146,0.000962146
35,3699.85,1.52267,1.65316,1.5143,0.52873,0.52846,0.50708,0.27136,1.67073,1.84576,1.72495,0.000947999,0.000947999,0.000947999
36,3807.98,1.52231,1.66723,1.5357,0.46484,0.55795,0.48851,0.26501,1.70738,1.77113,1.72115,0.000933851,0.000933851,0.000933851
37,3912.28,1.49637,1.64644,1.52196,0.55961,0.51088,0.52214,0.28869,1.65771,1.73662,1.69229,0.000919704,0.000919704,0.000919704
38,4018.37,1.50687,1.62819,1.50188,0.5153,0.5371,0.51909,0.2809,1.67078,1.71393,1.70979,0.000905557,0.000905557,0.000905557
39,4121.85,1.48571,1.60607,1.51457,0.51316,0.57776,0.55625,0.31188,1.64242,1.63797,1.69389,0.00089141,0.00089141,0.00089141
40,4239.49,1.47406,1.59012,1.48951,0.5189,0.57098,0.52684,0.29762,1.65937,1.75412,1.7099,0.000877263,0.000877263,0.000877263
41,4354.81,1.48068,1.58269,1.49592,0.53005,0.55728,0.52762,0.30246,1.57524,1.58362,1.65019,0.000863116,0.000863116,0.000863116
42,4470.26,1.45357,1.5624,1.47809,0.51193,0.60588,0.55423,0.31143,1.58724,1.66607,1.6551,0.000848969,0.000848969,0.000848969
