epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4614.82,1.56274,1.76036,1.51743,0.46323,0.52813,0.4747,0.26642,1.65613,1.78096,1.69804,0.000848969,0.000848969,0.000848969
43,4725.41,1.56697,1.7265,1.52052,0.45786,0.54013,0.48459,0.26778,1.66675,1.69707,1.71539,0.000834822,0.000834822,0.000834822
44,4835.55,1.57121,1.70258,1.5185,0.50452,0.53122,0.48886,0.26624,1.6461,1.68344,1.67206,0.000820675,0.000820675,0.000820675
45,4945.4,1.56097,1.72621,1.52019,0.4824,0.5135,0.47811,0.26523,1.70359,1.74301,1.70143,0.000806528,0.000806528,0.000806528
46,5053.74,1.53837,1.69629,1.50099,0.40142,0.56193,0.4511,0.25459,1.65309,1.76254,1.6951,0.00079238,0.00079238,0.00079238
47,5162.05,1.53358,1.67378,1.49355,0.51249,0.48215,0.48348,0.26852,1.67004,1.72607,1.68661,0.000778233,0.000778233,0.000778233
48,5290.96,1.53588,1.65418,1.50787,0.45481,0.55162,0.47069,0.2657,1.6514,1.70619,1.68114,0.000764086,0.000764086,0.000764086
49,5401.1,1.52492,1.64258,1.50523,0.47345,0.57834,0.51041,0.28841,1.59988,1.65171,1.63982,0.000749939,0.000749939,0.000749939
50,5511.13,1.52137,1.65076,1.49191,0.43791,0.57893,0.48951,0.27932,1.63948,1.69629,1.66349,0.000735792,0.000735792,0.000735792
51,5620.48,1.52181,1.62284,1.50288,0.54662,0.52632,0.5364,0.31275,1.57653,1.59825,1.63563,0.000721645,0.000721645,0.000721645
52,5730.19,1.48637,1.59391,1.47593,0.48817,0.59774,0.50856,0.29139,1.62648,1.62956,1.65225,0.000707498,0.000707498,0.000707498
53,5838.42,1.49187,1.57781,1.46138,0.44353,0.56424,0.48519,0.27853,1.62823,1.66427,1.65612,0.000693351,0.000693351,0.000693351
54,5948.07,1.47223,1.58089,1.46964,0.54863,0.54674,0.54364,0.3092,1.5971,1.5935,1.65145,0.000679204,0.000679204,0.000679204
55,6056.31,1.48122,1.58785,1.47326,0.53746,0.57073,0.53994,0.31568,1.56234,1.56344,1.62402,0.000665057,0.000665057,0.000665057
56,6163.79,1.46269,1.55707,1.46814,0.56311,0.5267,0.53296,0.31057,1.54338,1.54613,1.60292,0.000650909,0.000650909,0.000650909
57,6271.73,1.4517,1.55521,1.44994,0.52571,0.58147,0.56942,0.32549,1.56323,1.52504,1.61372,0.000636762,0.000636762,0.000636762
58,6380.71,1.45979,1.54304,1.46224,0.52009,0.59512,0.56809,0.32757,1.56359,1.53243,1.61286,0.000622615,0.000622615,0.000622615
59,6489.28,1.47314,1.53746,1.46933,0.50267,0.60266,0.54521,0.32143,1.55313,1.53674,1.60536,0.000608468,0.000608468,0.000608468
